tb,seed,oracle_ap,current_ap,edgebank_b_ap,edgebank_a_ap,retrieval_ap,tgn_ap,nomem_ap,matgn_ap,matgn_auc,matgn_onset_ap,matgn_steady_ap,matgn_attn_a,matgn_attn_b,matgn_gate
100,51,0.7876207581962935,0.7618796766967204,0.7403695236947248,0.7375293505144478,0.7600405696567964,0.6532848057018013,0.6523797790975272,0.6525642162465709,0.6842355209733035,0.6312509513942606,0.653430550487313,0.41353777050971985,0.4594863951206207,0.8137519104140145
200,42,0.787391426152431,0.7598937965353207,0.7382598070724067,0.7357566891965961,0.7570138653057075,0.6523451530889559,0.6521589422941008,0.6506579513782904,0.6831199659031006,0.6369561112230161,0.6506327114586277,0.28308141231536865,0.6290698647499084,0.8280568548611232
200,43,0.7883908208582859,0.7616249644857849,0.7391542125444941,0.7366347241010378,0.7596387367561532,0.6543967040755513,0.6533858810662737,0.6543873644260285,0.6863424575260332,0.6384876250549258,0.6552599385997576,0.28308141231536865,0.6290698647499084,0.6919377859757871
200,44,0.7865573907225009,0.7581883761497381,0.736804242955086,0.7345608710977152,0.7582083084299701,0.6492279388205394,0.6485869289234456,0.649387298607874,0.6820001641594369,0.6227753288347677,0.6502253981383849,0.28308141231536865,0.6290698647499084,0.8578288299696786
200,45,0.7848143844937343,0.7582513754751955,0.7372499051908172,0.7342792560774878,0.7567734827772044,0.6518288158082428,0.6510968243350791,0.6522905845930848,0.6843680038089341,0.6238121453572996,0.652270170001453,0.28308144211769104,0.6290698647499084,0.7646499689744444
200,46,0.7874338387403034,0.7590793331144777,0.7396019872296026,0.7368926458347866,0.7590119094648784,0.6500879318858079,0.6500105175272636,0.6505114209402993,0.682829003876602,0.624180581038862,0.6513418687463326,0.28308144211769104,0.6290698647499084,0.886856813820041
200,47,0.7876309454390507,0.7594898007378424,0.7392374671612196,0.7369918196748619,0.7578474254090075,0.6530606570240076,0.6527073901002745,0.6527187830273682,0.6849586728932221,0.6394281369962571,0.6551938218529889,0.28308144211769104,0.6290698647499084,0.8536367440710262
200,48,0.7884010863771442,0.7604896340310046,0.7390495587866353,0.7362212769073891,0.7587058852520191,0.6523065352223283,0.6509544718507905,0.6519166199746909,0.6842360443865699,0.6371524755950133,0.6516816527329051,0.28308144211769104,0.6290698647499084,0.6836189031600952
200,49,0.7882430505642088,0.7601416299456072,0.7399327005136358,0.7372823424578272,0.7591983835268368,0.6521741709228168,0.6515071060299015,0.6516337901430995,0.6828833411094454,0.6340249888784825,0.6522231008199366,0.28308144211769104,0.6290698647499084,0.7423374859654174
200,50,0.7884015322267585,0.7613405191973831,0.741106943227495,0.7380030561069738,0.7596035195486868,0.6525264029269595,0.6522757966379309,0.652379670425437,0.6857622969174381,0.6398908983187237,0.654624600428976,0.28308141231536865,0.6290699243545532,0.9996946806810341
200,51,0.7879567976010727,0.7609283702056545,0.7396270568641319,0.7364957434883945,0.7582070236153513,0.6535180630000175,0.6545009313202275,0.6532808536438627,0.6850981921680446,0.6397527561906136,0.6542526727276359,0.28308144211769104,0.6290698647499084,0.814216752441562
