dataset,condition,method,memory_type,history_window,T_B,seed_or_episode,AP,AUC,delta_vs_current,delta_vs_tgn
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,51,0.7638679997275375,0.7520742511224856,0.0,0.11284926668438511
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,51,0.6510187330431524,0.6836144122965788,-0.11284926668438511,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,51,0.5027555138653015,0.502828383300943,-0.261112485862236,-0.1482632191778509
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,51,0.7418161619318573,0.749348482673072,-0.022051837795680207,0.0907974288887049
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,51,0.7410863063516551,0.7080394312087563,-0.022781693375882428,0.09006757330850268
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,51,0.7429583568072271,0.7127176490096234,-0.02090964292031039,0.09193962376407472
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,51,0.740915583012274,0.7486563886782444,-0.02295241671526349,0.08989684996912162
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,51,0.7902772659713209,0.7877640015067338,0.02640926624378337,0.13925853292816848
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,42,0.7641096889285466,0.7524863807168476,0.0,0.22676062337581393
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,42,0.5373490655527327,0.5815401638443005,-0.22676062337581393,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,42,0.6501382834632122,0.6811479132995664,-0.11397140546533435,0.11278921791047958
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,42,0.7439337530015526,0.7511676616157688,-0.02017593592699396,0.20658468744881997
