condition,seed,edge_jaccard_overlap,method,AP,delta_vs_current,delta_vs_edgebank
Condition_B_Structural_Recurrence,44,0.9890739625838963,Historical_Oracle,0.6622788747729756,0.038507639117471903,0.07802362142450836
Condition_B_Structural_Recurrence,45,0.9904347826086957,Current_Only,0.6239705181802939,0.0,0.03990624767107931
Condition_B_Structural_Recurrence,45,0.9904347826086957,Continuous_TGN,0.5946314746717468,-0.029339043508547102,0.010567204162532207
Condition_B_Structural_Recurrence,45,0.9904347826086957,EdgeBank_AllHistory,0.5830443372452401,-0.040926180935053846,-0.0010199332639745373
Condition_B_Structural_Recurrence,45,0.9904347826086957,EdgeBank_Bounded,0.5840642705092146,-0.03990624767107931,0.0
Condition_B_Structural_Recurrence,45,0.9904347826086957,Historical_Retrieval,0.6235229799567469,-0.0004475382235470393,0.03945870944753227
Condition_B_Structural_Recurrence,45,0.9904347826086957,Random_Retrieval,0.6212909169112,-0.0026796012690939452,0.037226646401985364
Condition_B_Structural_Recurrence,45,0.9904347826086957,Historical_Oracle,0.6616130751265104,0.03764255694621643,0.07754880461729574
Condition_B_Structural_Recurrence,46,0.99010011371491,Current_Only,0.624090268049027,0.0,0.04026123978870799
Condition_B_Structural_Recurrence,46,0.99010011371491,Continuous_TGN,0.5087075425475823,-0.11538272550144468,-0.07512148571273669
Condition_B_Structural_Recurrence,46,0.99010011371491,EdgeBank_AllHistory,0.5826159161362683,-0.04147435191275872,-0.0012131121240507303
Condition_B_Structural_Recurrence,46,0.99010011371491,EdgeBank_Bounded,0.583829028260319,-0.04026123978870799,0.0
Condition_B_Structural_Recurrence,46,0.99010011371491,Historical_Retrieval,0.6129329844240174,-0.011157283625009562,0.02910395616369843
Condition_B_Structural_Recurrence,46,0.99010011371491,Random_Retrieval,0.6219170764531246,-0.0021731915959024573,0.038088048192805535
Condition_B_Structural_Recurrence,46,0.99010011371491,Historical_Oracle,0.6626718240713313,0.038581556022304286,0.07884279581101228
Condition_B_Structural_Recurrence,47,0.9901893018796406,Current_Only,0.6235305282289814,0.0,0.039164084895641604
Condition_B_Structural_Recurrence,47,0.9901893018796406,Continuous_TGN,0.4712721649691807,-0.1522583632598007,-0.11309427836415908
Condition_B_Structural_Recurrence,47,0.9901893018796406,EdgeBank_AllHistory,0.5832403025571449,-0.04029022567183649,-0.0011261407761948838
Condition_B_Structural_Recurrence,47,0.9901893018796406,EdgeBank_Bounded,0.5843664433333398,-0.039164084895641604,0.0
Condition_B_Structural_Recurrence,47,0.9901893018796406,Historical_Retrieval,0.6105688888123905,-0.012961639416590898,0.026202445479050707
Condition_B_Structural_Recurrence,47,0.9901893018796406,Random_Retrieval,0.6216041187019501,-0.0019264095270312698,0.037237675368610335
Condition_B_Structural_Recurrence,47,0.9901893018796406,Historical_Oracle,0.6619946230911298,0.03846409486214841,0.07762817975779002
Condition_B_Structural_Recurrence,48,0.9901224107560926,Current_Only,0.6235338549232332,0.0,0.039240812921459645
Condition_B_Structural_Recurrence,48,0.9901224107560926,Continuous_TGN,0.5137113975883835,-0.10982245733484974,-0.0705816444133901
Condition_B_Structural_Recurrence,48,0.9901224107560926,EdgeBank_AllHistory,0.5831187560175973,-0.04041509890563588,-0.0011742859841762376
Condition_B_Structural_Recurrence,48,0.9901224107560926,EdgeBank_Bounded,0.5842930420017736,-0.039240812921459645,0.0
Condition_B_Structural_Recurrence,48,0.9901224107560926,Historical_Retrieval,0.6356168186710269,0.012082963747793718,0.05132377666925336
Condition_B_Structural_Recurrence,48,0.9901224107560926,Random_Retrieval,0.6220519891946847,-0.0014818657285484704,0.037758947192911174
Condition_B_Structural_Recurrence,48,0.9901224107560926,Historical_Oracle,0.6619666068296515,0.03843275190641826,0.0776735648278779
Condition_B_Structural_Recurrence,49,0.9905904388155548,Current_Only,0.6239713031426152,0.0,0.03902264964919866
Condition_B_Structural_Recurrence,49,0.9905904388155548,Continuous_TGN,0.5065426535074549,-0.11742864963516031,-0.07840599998596165
Condition_B_Structural_Recurrence,49,0.9905904388155548,EdgeBank_AllHistory,0.583999753225772,-0.03997154991684315,-0.0009489002676444924
Condition_B_Structural_Recurrence,49,0.9905904388155548,EdgeBank_Bounded,0.5849486534934165,-0.03902264964919866,0.0
Condition_B_Structural_Recurrence,49,0.9905904388155548,Historical_Retrieval,0.6150090052825229,-0.008962297860092283,0.030060351789106377
Condition_B_Structural_Recurrence,49,0.9905904388155548,Random_Retrieval,0.6224133676986093,-0.0015579354440058424,0.03746471420519282
Condition_B_Structural_Recurrence,49,0.9905904388155548,Historical_Oracle,0.6624931973269699,0.0385218941843547,0.07754454383355336
Condition_B_Structural_Recurrence,50,0.9904120585087406,Current_Only,0.6256335575306683,0.0,0.04025085061036371
Condition_B_Structural_Recurrence,50,0.9904120585087406,Continuous_TGN,0.5711796645243119,-0.05445389300635639,-0.014203042395992682
Condition_B_Structural_Recurrence,50,0.9904120585087406,EdgeBank_AllHistory,0.5842083053924674,-0.04142525213820092,-0.00117440152783721
Condition_B_Structural_Recurrence,50,0.9904120585087406,EdgeBank_Bounded,0.5853827069203046,-0.04025085061036371,0.0
Condition_B_Structural_Recurrence,50,0.9904120585087406,Historical_Retrieval,0.6171632284364472,-0.008470329094221074,0.031780521516142635
Condition_B_Structural_Recurrence,50,0.9904120585087406,Random_Retrieval,0.6227736703288996,-0.0028598872017686627,0.037390963408595046
Condition_B_Structural_Recurrence,50,0.9904120585087406,Historical_Oracle,0.6629209813432628,0.03728742381259453,0.07753827442295824
Condition_B_Structural_Recurrence,51,0.9892530657748049,Current_Only,0.6246973869565062,0.0,0.038727093416948244
Condition_B_Structural_Recurrence,51,0.9892530657748049,Continuous_TGN,0.6468551632451948,0.022157776288688535,0.06088486970563678
