benchmark,seed,method,AP,AUC,delta_vs_current,delta_vs_tgn
Current_Sufficient_Control,46,TGN_NoMemory,0.5615826500050565,0.5773070700212648,-0.3887130791930138,0.052818361634768496
Current_Sufficient_Control,46,Historical_Retrieval,0.8986373369635738,0.9065257678130828,-0.05165839223449642,0.38987304859328586
Current_Sufficient_Control,46,Historical_Oracle,0.9553995093799567,0.9479819158627129,0.005103780181886397,0.4466352210096687
Current_Sufficient_Control,47,Current_Only,0.9504009128366648,0.9411563985792817,0.0,0.3526048989476589
Current_Sufficient_Control,47,Continuous_TGN,0.5977960138890059,0.612819978381822,-0.3526048989476589,0.0
Current_Sufficient_Control,47,TGN_NoMemory,0.6345754175327002,0.660626297154002,-0.31582549530396464,0.03677940364369425
Current_Sufficient_Control,47,Historical_Retrieval,0.8950586602609836,0.9033389692904896,-0.05534225257568126,0.29726264637197763
Current_Sufficient_Control,47,Historical_Oracle,0.9551845038183882,0.9478078043935834,0.004783590981723318,0.3573884899293822
Current_Sufficient_Control,48,Current_Only,0.9503880718587372,0.9409902732678918,0.0,0.3761896061816663
Current_Sufficient_Control,48,Continuous_TGN,0.5741984656770709,0.5898537209348008,-0.3761896061816663,0.0
Current_Sufficient_Control,48,TGN_NoMemory,0.6246681412455736,0.6479059365696874,-0.3257199306131636,0.05046967556850268
Current_Sufficient_Control,48,Historical_Retrieval,0.899740882824729,0.9073913389395507,-0.05064718903400822,0.3255424171476581
Current_Sufficient_Control,48,Historical_Oracle,0.9558364527770391,0.9482198479021897,0.005448380918301909,0.3816379870999682
Current_Sufficient_Control,49,Current_Only,0.9504726945733848,0.9414307627239236,0.0,0.44228212499726016
Current_Sufficient_Control,49,Continuous_TGN,0.5081905695761246,0.5106072642093512,-0.44228212499726016,0.0
Current_Sufficient_Control,49,TGN_NoMemory,0.5628234425753422,0.573295336071913,-0.38764925199804257,0.0546328729992176
Current_Sufficient_Control,49,Historical_Retrieval,0.9008451382262928,0.9095762355436168,-0.04962755634709204,0.3926545686501681
Current_Sufficient_Control,49,Historical_Oracle,0.9553980882537192,0.9481209965105037,0.0049253936803344,0.44720751867759456
Current_Sufficient_Control,50,Current_Only,0.9506775969048632,0.9416612134017484,0.0,0.40200162785714344
Current_Sufficient_Control,50,Continuous_TGN,0.5486759690477198,0.5642898414544767,-0.40200162785714344,0.0
Current_Sufficient_Control,50,TGN_NoMemory,0.5057730840327458,0.5066504226533515,-0.4449045128721174,-0.04290288501497397
Current_Sufficient_Control,50,Historical_Retrieval,0.9021675495950423,0.9105601540026561,-0.04851004730982089,0.35349158054732255
Current_Sufficient_Control,50,Historical_Oracle,0.9555267832071827,0.9483599358473422,0.004849186302319453,0.4068508141594629
Current_Sufficient_Control,51,Current_Only,0.951300907527785,0.9423500399996475,0.0,0.4388436565296918
Current_Sufficient_Control,51,Continuous_TGN,0.5124572509980931,0.5089719466917348,-0.4388436565296918,0.0
Current_Sufficient_Control,51,TGN_NoMemory,0.6390872041179528,0.6671416764850246,-0.3122137034098321,0.1266299531198597
Current_Sufficient_Control,51,Historical_Retrieval,0.8958666144074773,0.9044521275166477,-0.055434293120307676,0.38340936340938414
Current_Sufficient_Control,51,Historical_Oracle,0.9560259020449902,0.9488247748309664,0.0047249945172052055,0.443568651046897
