T_B,seed,k_A,TGN_AP,TGN_NoMemory_AP,Current_Only_AP,recovery_gain_vs_k0
50,50,25,0.5187929246155631,0.6499045830048972,0.7645542459705031,0.0003765693025155059
50,51,0,0.5337664978965572,0.6519375889431749,0.7643868303503356,0.0
50,51,1,0.5339094540440144,0.6524735261685906,0.7646210271552034,0.000142956147457185
50,51,5,0.5339957052332148,0.6531217881894973,0.7649307857593146,0.00022920733665765525
50,51,10,0.5338793026748305,0.6533992089608407,0.7652173981211802,0.00011280477827335655
50,51,25,0.5341026235828934,0.6535001385622762,0.7662992832717164,0.0003361256863362305
100,42,0,0.5987606286806381,0.48761364706449384,0.7633904987386224,0.0
100,42,1,0.5989852268278317,0.48759427415737555,0.7636085739778674,0.00022459814719366644
100,42,5,0.5991951869282198,0.48757335491150205,0.7638711607158375,0.0004345582475817622
100,42,10,0.5995096398288841,0.4877787139393476,0.7641685015957235,0.0007490111482459927
100,42,25,0.5998635784143547,0.48742699568507386,0.7647504960448637,0.0011029497337166072
100,43,0,0.5131992642297882,0.5190299938620335,0.7635855625084486,0.0
100,43,1,0.5132699627298476,0.5189273609820151,0.7637206439398536,7.069850005936296e-05
100,43,5,0.5131259229875327,0.5190139124052089,0.7640659907892798,-7.33412422555535e-05
100,43,10,0.5129904863852461,0.5188510715320385,0.7643926756677915,-0.00020877784454209625
100,43,25,0.5130524737722798,0.5190871831463286,0.7648793964869398,-0.00014679045750842779
100,44,0,0.5003927457756648,0.5304916223398398,0.762745275466741,0.0
100,44,1,0.5003404703269672,0.5302485934801949,0.7629794380137372,-5.227544869768064e-05
100,44,5,0.5002460147324975,0.5300778021339203,0.7629703830941739,-0.0001467310431673141
100,44,10,0.5004330173492909,0.5298816497074805,0.762905151112339,4.02715736260717e-05
100,44,25,0.5006962691028297,0.5299337944801087,0.7633386037706168,0.0003035233271648785
100,45,0,0.5090932291372777,0.5230023813053393,0.7637556131659445,0.0
100,45,1,0.5091368789461168,0.5230524555530006,0.7639891016052726,4.364980883908576e-05
100,45,5,0.5091666236154617,0.5230297898533174,0.7643565208405277,7.33944781839968e-05
100,45,10,0.5090652263539741,0.5229856850357273,0.7646943277298395,-2.8002783303615608e-05
100,45,25,0.5092545436352783,0.5230847592145655,0.7653303178190437,0.0001613144980006087
100,46,0,0.5103800741832243,0.5954296233850709,0.7628040075999558,0.0
100,46,1,0.5102505605701698,0.5957141182584544,0.7630460196585949,-0.00012951361305446607
100,46,5,0.5102866102922416,0.5960608187384875,0.7634207520191014,-9.346389098263685e-05
100,46,10,0.5103572289384318,0.5961195181868613,0.7632886538413737,-2.2845244792457642e-05
100,46,25,0.50987805507824,0.5963944861606347,0.7638721296365634,-0.0005020191049842637
100,47,0,0.5688749603180281,0.5108521241235405,0.7624756644815044,0.0
100,47,1,0.5691417799305983,0.5108327283738608,0.7627240741364891,0.000266819612570246
100,47,5,0.5693661373897257,0.5107774578747042,0.7629278212171411,0.0004911770716976571
100,47,10,0.5693501162755508,0.510814381183832,0.7632521769485747,0.00047515595752267714
100,47,25,0.5699438725242199,0.5104598413384447,0.7640103042263486,0.0010689122061917633
100,48,0,0.5047935394815395,0.5339021404762381,0.7638968848383807,0.0
100,48,1,0.5042381739744096,0.5338650273958655,0.7641673484085124,-0.000555365507129868
100,48,5,0.504040109330361,0.533951646162457,0.7645774204433382,-0.000753430151178458
