experiment,seed,memory_dim,T_B,model,condition,AP,AUC,precision,recall,recovery_latency,HR,HG,MH,AP_t0,AP_t10,AP_t25,AP_t50,AP_t100,parameter_count,learning_rate,epochs
phase2_1_capacity_grid,44,16,100,TGN,dm_16_tb_100,0.5198867026044354,0.5212991394452735,0.5160236353307245,0.3990095058009245,100,-48011329.73955646,-0.48011329739556463,-0.48011329739556463,0.5219520937243503,0.5127373064337384,0.5212384460002029,0.5261126032444549,0.5182278324019837,23553,0.005,15
phase2_1_capacity_grid,45,16,100,TGN,dm_16_tb_100,0.5342456212225708,0.5385844691625947,0.5305311728516008,0.4819495307723456,100,-46575437.87774292,-0.4657543787774292,-0.4657543787774292,0.5336251103909733,0.5379479749360441,0.5257444445556436,0.5385075870590328,0.536475490152349,23553,0.005,15
phase2_1_capacity_grid,46,16,100,TGN,dm_16_tb_100,0.5104809221334472,0.5098040752080305,0.5050889659710535,0.6809720497794343,100,-48951908.873606026,-0.489519077866553,-0.489519077866553,0.5287795908517612,0.5077463740850261,0.4987111802123646,0.501499474583975,0.5028690939789557,23553,0.005,15
phase2_1_capacity_grid,42,16,200,TGN,dm_16_tb_200,0.502644414865137,0.5038096776368979,0.5026240720660605,0.3360345650593111,100,-49735558.513486296,-0.497355585134863,-0.497355585134863,0.5658633302747446,0.5080639086566339,0.5054513667273566,0.4965514687971877,0.5065987253351829,23553,0.005,15
phase2_1_capacity_grid,43,16,200,TGN,dm_16_tb_200,0.5054466987956291,0.5073826291371161,0.5034098994482407,0.33506681499550994,100,-49455329.57137262,-0.4945533012043708,-0.4945533012043708,0.5626159722689635,0.5018093663837939,0.5039483674456283,0.5150934295428504,0.4983437348049691,23553,0.005,15
phase2_1_capacity_grid,44,16,200,TGN,dm_16_tb_200,0.5052690258832728,0.5052955175362615,0.505049322072464,0.33633266260665334,100,-49473096.86241099,-0.49473097411672706,-0.49473097411672706,0.556648526064046,0.5135099213959436,0.506707136171485,0.4999237318125527,0.5085759231034452,23553,0.005,15
phase2_1_capacity_grid,45,16,200,TGN,dm_16_tb_200,0.5052097570852256,0.5045876930260121,0.5036804485120068,0.3382074164155482,100,-49479024.291477434,-0.49479024291477436,-0.49479024291477436,0.5600462316932293,0.5005512735260675,0.507648313374926,0.5062095797787962,0.5069504327637461,23553,0.005,15
phase2_1_capacity_grid,46,16,200,TGN,dm_16_tb_200,0.5066050495653083,0.5058649463130851,0.5027126344624842,0.3348553830269207,100,-49339495.04346917,-0.4933949504346917,-0.4933949504346917,0.5620075169326562,0.49822438092499216,0.5057285660671654,0.5006688809630484,0.503686875377083,23553,0.005,15
phase2_1_capacity_grid,42,32,10,TGN,dm_32_tb_10,0.6523614224801277,0.6844415067307842,0.5831107172868853,0.7954295068220644,0,-34763856.98007452,-0.34763857751987204,-0.34763857751987204,0.6129239651045524,0.6437635023061044,0.6543399467352649,0.6604497085868068,0.6520345184853078,30561,0.005,15
phase2_1_capacity_grid,43,32,10,TGN,dm_32_tb_10,0.505210355895688,0.50544077230763,0.5037508562645148,0.5373647721399419,100,-49478964.4104312,-0.49478964410431203,-0.49478964410431203,0.504263241307706,0.5017125708021597,0.5034268644970621,0.5006660907154854,0.5184228661175823,30561,0.005,15
phase2_1_capacity_grid,44,32,10,TGN,dm_32_tb_10,0.653153040148013,0.6850817109396043,0.6878574394431917,0.6679230068408168,0,-34684695.9851987,-0.346846959851987,-0.346846959851987,0.6075570207222397,0.647405030153154,0.650258748239356,0.6533797443702323,0.6568590591374058,30561,0.005,15
phase2_1_capacity_grid,45,32,10,TGN,dm_32_tb_10,0.652460917138234,0.684554615530484,0.6901349909713531,0.6653265481485439,0,-34753908.28617661,-0.34753908286176605,-0.34753908286176605,0.6112683923396216,0.6624578393993761,0.6562661926898425,0.6652506970398253,0.6568965127267886,30561,0.005,15
phase2_1_capacity_grid,46,32,10,TGN,dm_32_tb_10,0.5048282968120695,0.5061998567972886,0.504208105232781,0.5226109453091692,100,-49517170.31879304,-0.49517170318793047,-0.49517170318793047,0.49646133707775375,0.5123437173442521,0.5151285610432403,0.5025852405051845,0.4957292294566402,30561,0.005,15
phase2_1_capacity_grid,42,32,25,TGN,dm_32_tb_25,0.6496323877458228,0.6808954976589556,0.5769171744815812,0.8043909016950663,0,-35036761.225417726,-0.35036761225417723,-0.35036761225417723,0.5966556807326453,0.6566083909777339,0.6545886147403481,0.6461197614921642,0.6627694564528246,30561,0.005,15
phase2_1_capacity_grid,43,32,25,TGN,dm_32_tb_25,0.6529156208854778,0.6845966074931518,0.6035130082979862,0.7619964563901982,0,-34708437.91145222,-0.34708437911452217,-0.34708437911452217,0.6070446920809844,0.6553127096747888,0.6476003657548679,0.663859978662128,0.6513532665205308,30561,0.005,15
phase2_1_capacity_grid,44,32,25,TGN,dm_32_tb_25,0.6444594174213887,0.6743892493228684,0.5877248172173649,0.784802679520521,0,-35554058.25786113,-0.3555405825786113,-0.3555405825786113,0.597957776948708,0.6331363681882702,0.6526481469283423,0.641214600501292,0.6423913154875831,30561,0.005,15
phase2_1_capacity_grid,45,32,25,TGN,dm_32_tb_25,0.6534425433861342,0.6850615821097696,0.6887405638346091,0.6670871040850026,0,-34655745.66138658,-0.34655745661386583,-0.34655745661386583,0.6034081673830276,0.6519549610315933,0.6404571170634046,0.6560520726615866,0.6480131636839811,30561,0.005,15
phase2_1_capacity_grid,46,32,25,TGN,dm_32_tb_25,0.6511891377029365,0.682102069006727,0.6044072810375852,0.7589747486712768,0,-34881086.22970635,-0.3488108622970635,-0.3488108622970635,0.5981689034318435,0.6618397988503878,0.643543024020523,0.6501468482641002,0.6423851822152521,30561,0.005,15
phase2_1_capacity_grid,42,32,50,TGN,dm_32_tb_50,0.5424781477316474,0.5477044910779421,0.6036318096430808,0.05150031163743211,100,-45752185.22683526,-0.4575218522683526,-0.4575218522683526,0.5356098574726827,0.5418674817103057,0.54876995171809,0.5396877165230299,0.5468090615536405,30561,0.005,15
phase2_1_capacity_grid,43,32,50,TGN,dm_32_tb_50,0.601343890824537,0.6267391040367364,0.6206978710545356,0.4769027441665253,0,-39865611.80274072,-0.39865610917546324,-0.39865610917546324,0.5673192393520781,0.6058749817538005,0.5967969343530755,0.5999325809340561,0.5991202820278997,30561,0.005,15
phase2_1_capacity_grid,44,32,50,TGN,dm_32_tb_50,0.6363961275034306,0.6669105907729771,0.6340541060619371,0.6759305919130927,0,-36360387.249656945,-0.36360387249656945,-0.36360387249656945,0.6025998033845003,0.6217479354010496,0.6292113729249524,0.6453732265734669,0.6379141557151212,30561,0.005,15
phase2_1_capacity_grid,45,32,50,TGN,dm_32_tb_50,0.5703812956340973,0.6032831564099321,0.5683484939095401,0.6839193651161444,100,-42961869.95961768,-0.42961870436590255,-0.42961870436590255,0.5406623196633793,0.5623875234484281,0.579658274090711,0.5715496964438114,0.5774884698022644,30561,0.005,15
phase2_1_capacity_grid,46,32,50,TGN,dm_32_tb_50,0.508247641707958,0.5090689817430544,0.5040956753662725,0.46183216327550736,100,-49175235.8292042,-0.491752358292042,-0.491752358292042,0.5086668771867613,0.5059522201273832,0.5076040077182834,0.5150853369677255,0.49487157997276926,30561,0.005,15
phase2_1_capacity_grid,42,32,100,TGN,dm_32_tb_100,0.5131002091207697,0.5146860081484266,0.5048094640425134,0.6319780153651736,100,-48689979.08792303,-0.4868997908792303,-0.4868997908792303,0.5256742133546553,0.524660379024134,0.5246123196438326,0.5094709436815932,0.5208239612303531,30561,0.005,15
phase2_1_capacity_grid,43,32,100,TGN,dm_32_tb_100,0.5312508650858677,0.5718855666812618,0.5496517997229078,0.8039491106896182,100,-46874912.45058107,-0.46874913491413206,-0.46874913491413206,0.5207571488725512,0.5327720750146853,0.526404491263722,0.5318390954223545,0.532607778144351,30561,0.005,15
phase2_1_capacity_grid,44,32,100,TGN,dm_32_tb_100,0.5676104256785416,0.5875450617614548,0.5416809187189622,0.7627496582772715,100,-43238957.43214584,-0.4323895743214584,-0.4323895743214584,0.5427502433227703,0.5712054888980205,0.5695622908026139,0.5662123395607259,0.5615572001062699,30561,0.005,15
phase2_1_capacity_grid,45,32,100,TGN,dm_32_tb_100,0.5105965825348137,0.5109816042405622,0.5054569160001172,0.6141297818280522,100,-48940341.746518634,-0.48940341746518634,-0.48940341746518634,0.5371391951094233,0.5101318240985633,0.4997931591390606,0.50291137152943,0.5115110735223909,30561,0.005,15
phase2_1_capacity_grid,46,32,100,TGN,dm_32_tb_100,0.4987828095988447,0.5024379416848037,0.502208055578856,0.453752516054826,100,-50121720.15304131,-0.5012171904011555,-0.5012171904011555,0.5670309504209292,0.5000218052836183,0.4942847786699351,0.4937981533042134,0.4928210824796971,30561,0.005,15
phase2_1_capacity_grid,42,32,200,TGN,dm_32_tb_200,0.5057109091245627,0.5051924441567529,0.5031103499518537,0.3368108067113675,100,-49428909.087543726,-0.49428909087543726,-0.49428909087543726,0.5615934033333551,0.5042386474840059,0.5067388008970861,0.49796133115548225,0.5060496518292332,30561,0.005,15
phase2_1_capacity_grid,43,32,200,TGN,dm_32_tb_200,0.5075649500648808,0.5071951062469553,0.5036100721346514,0.33686954656944873,100,-49243504.44679919,-0.4924350499351191,-0.4924350499351191,0.5683581497135581,0.5099301845365911,0.5056778837080032,0.5152935296845464,0.5096405101144522,30561,0.005,15
phase2_1_capacity_grid,44,32,200,TGN,dm_32_tb_200,0.505301642258843,0.505377529737533,0.5049644582308842,0.33590482366127633,100,-49469835.22489019,-0.4946983577411569,-0.4946983577411569,0.5463877127868199,0.5205062524138828,0.5048681069184403,0.5023662067851928,0.5079202402471271,30561,0.005,15
phase2_1_capacity_grid,45,32,200,TGN,dm_32_tb_200,0.5037568365551702,0.5039553262093628,0.5037418319768705,0.33691307574687257,100,-49624316.34448297,-0.49624316344482977,-0.49624316344482977,0.5600228680925081,0.5051486810432153,0.5025449719147759,0.510694730155158,0.5061062346941217,30561,0.005,15
phase2_1_capacity_grid,46,32,200,TGN,dm_32_tb_200,0.504017262188134,0.503493393379503,0.5030270311957737,0.3483357588218801,100,-49598273.781186596,-0.49598273781186597,-0.49598273781186597,0.5545805087104084,0.5083229346156284,0.5057667741914166,0.5019866246843552,0.5001092274887609,30561,0.005,15
phase2_1_capacity_grid,42,64,10,TGN,dm_64_tb_10,0.5036622053985227,0.504757851114413,0.5047528645097009,0.3344216521929179,100,-49633778.35805644,-0.4963377946014771,-0.4963377946014771,0.5029051960680442,0.5026771773540604,0.502427029421412,0.510885677863602,0.5042157252340367,49185,0.005,15
phase2_1_capacity_grid,43,64,10,TGN,dm_64_tb_10,0.5314680309667565,0.5313894948155347,0.5398689305458073,0.3050179115649896,100,-46853196.90332434,-0.46853196903324346,-0.46853196903324346,0.5312349827853576,0.5312826949289222,0.5359887166374216,0.535493115505645,0.5453218687682776,49185,0.005,15
phase2_1_capacity_grid,44,64,10,TGN,dm_64_tb_10,0.6534319007378577,0.6854480288683229,0.5731502484805457,0.8110522294469208,0,-34656809.926214226,-0.34656809926214227,-0.34656809926214227,0.6073025715678211,0.6504341748768933,0.6539368055328627,0.6567405119514147,0.6550918265162624,49185,0.005,15
phase2_1_capacity_grid,45,64,10,TGN,dm_64_tb_10,0.50251357538448,0.5031271111035949,0.5024688319385981,0.4453667962262975,100,-49748642.461551994,-0.49748642461551995,-0.49748642461551995,0.5012199477542579,0.5030865572776789,0.5010205630858497,0.4986297861201845,0.5065491522990462,49185,0.005,15
phase2_1_capacity_grid,46,64,10,TGN,dm_64_tb_10,0.6525715531148975,0.6839267856430433,0.5249996811427843,0.9188264942822512,0,-34742844.688510254,-0.34742844688510255,-0.34742844688510255,0.6029174412337137,0.6502477174492846,0.6466944451382004,0.6632250585856095,0.6465918329847479,49185,0.005,15
phase2_1_capacity_grid,42,64,25,TGN,dm_64_tb_25,0.6381338719640968,0.66638024062599,0.6711005080324042,0.4357579877634262,0,-36186612.80359032,-0.36186612803590323,-0.36186612803590323,0.5830012844954116,0.6454136522783003,0.6447026832429513,0.6405336634635685,0.6480255914558406,49185,0.005,15
phase2_1_capacity_grid,43,64,25,TGN,dm_64_tb_25,0.6347031514950336,0.6687013708663229,0.622404074938206,0.7205763380470029,0,-36529684.850496635,-0.36529684850496635,-0.36529684850496635,0.5855507371218054,0.6221723604580423,0.6327347632711826,0.6415114917789431,0.629477149283549,49185,0.005,15
phase2_1_capacity_grid,44,64,25,TGN,dm_64_tb_25,0.5985799328472661,0.6311897492029528,0.5956006957455495,0.7119582294306019,0,-40142006.715273395,-0.40142006715273393,-0.40142006715273393,0.5693545971020589,0.5988856380512043,0.608553603784369,0.5977668849903808,0.5918763640888216,49185,0.005,15
phase2_1_capacity_grid,45,64,25,TGN,dm_64_tb_25,0.6536875507979454,0.6847049464668198,0.6720620573057671,0.67767232177279,0,-34631244.92020546,-0.3463124492020546,-0.3463124492020546,0.5999942228583559,0.6615491322813152,0.6471790161635441,0.660945679724799,0.653761731633409,49185,0.005,15
phase2_1_capacity_grid,46,64,25,TGN,dm_64_tb_25,0.6436837148136418,0.6707531875417615,0.5963735971335781,0.7313654670534753,0,-35631628.51863582,-0.35631628518635816,-0.35631628518635816,0.5936451026601387,0.6428423673602706,0.6351679617711752,0.6480753115386415,0.639712887477904,49185,0.005,15
phase2_1_capacity_grid,42,64,50,TGN,dm_64_tb_50,0.5935832387885961,0.6281684066125992,0.603585326953748,0.631813729854866,1,-40641676.12114039,-0.4064167612114039,-0.4064167612114039,0.5704318494973972,0.5948055288846235,0.5902259709072155,0.6138120630351569,0.6023698011560084,49185,0.005,15
phase2_1_capacity_grid,43,64,50,TGN,dm_64_tb_50,0.45896850806267026,0.4613226561485464,0.4881615384878047,0.6383223346400793,100,-54103150.395064265,-0.54103149193733,-0.54103149193733,0.475908395264964,0.46116614115090737,0.4573456527465763,0.45506396601611643,0.4604067627776596,49185,0.005,15
phase2_1_capacity_grid,44,64,50,TGN,dm_64_tb_50,0.599746889742258,0.6025867860164787,0.5661723619170428,0.5874089698937295,0,-40025311.0257742,-0.400253110257742,-0.400253110257742,0.5606667920343603,0.5870180896294295,0.5968721369975523,0.6097563255399517,0.597121824932847,49185,0.005,15
phase2_1_capacity_grid,45,64,50,TGN,dm_64_tb_50,0.6178233913524503,0.6487235794556737,0.6159515268341016,0.6606659863915265,0,-38217660.440453686,-0.38217660864754954,-0.38217660864754954,0.5762862493334698,0.6121839113267917,0.6220836634831479,0.6268976226990082,0.6182443822461823,49185,0.005,15
phase2_1_capacity_grid,46,64,50,TGN,dm_64_tb_50,0.5299292992647262,0.5621403381290188,0.5399465893331649,0.7245997777410818,100,-47007070.07352738,-0.4700707007352738,-0.4700707007352738,0.5246753299512725,0.5412656109460866,0.5276316771226544,0.5306880490173393,0.5274429422820093,49185,0.005,15
phase2_1_capacity_grid,42,64,100,TGN,dm_64_tb_100,0.5499491326664591,0.5445766141790741,0.5166671581908661,0.8980669835984461,100,-45005086.73335409,-0.45005086733354094,-0.45005086733354094,0.5312573716051885,0.5589057775174072,0.5555485953510461,0.5504452703735654,0.5526801208016568,49185,0.005,15
phase2_1_capacity_grid,43,64,100,TGN,dm_64_tb_100,0.526686413175645,0.5274879093951008,0.524763337551528,0.43222363382600293,100,-47331357.631468214,-0.47331358682435476,-0.47331358682435476,0.5732066518014783,0.5288927553991419,0.5269648174370125,0.5271936194619858,0.5257741074360661,49185,0.005,15
phase2_1_capacity_grid,44,64,100,TGN,dm_64_tb_100,0.5014526055704743,0.5005675056613509,0.5009900108250318,0.3261071704912111,100,-49854739.442952566,-0.49854739442952567,-0.49854739442952567,0.502280981092209,0.49545160994101844,0.5152692922003674,0.5027386212463234,0.4949506837570858,49185,0.005,15
phase2_1_capacity_grid,45,64,100,TGN,dm_64_tb_100,0.5069708474545538,0.5081708171192848,0.5054378881987578,0.3621018017095995,100,-49302915.25454462,-0.4930291525454462,-0.4930291525454462,0.5684912797110748,0.5071459472052418,0.48948310157369285,0.5015918803564381,0.5025954009663252,49185,0.005,15
phase2_1_capacity_grid,46,64,100,TGN,dm_64_tb_100,0.5094949779808231,0.5143665605419934,0.5112081155856133,0.3706842554595325,100,-49050503.291057676,-0.4905050220191771,-0.4905050220191771,0.5211317180276235,0.5105277964803878,0.508685276234573,0.49550899095658063,0.5049793510553701,49185,0.005,15
phase2_1_capacity_grid,42,64,200,TGN,dm_64_tb_200,0.5039485774693951,0.5052493858479131,0.5030009925591372,0.33685764888002606,100,-49605142.25306048,-0.49605142253060486,-0.49605142253060486,0.565018339764082,0.5073751677634656,0.5031331768806969,0.4952575567639552,0.506227670944505,49185,0.005,15
phase2_1_capacity_grid,43,64,200,TGN,dm_64_tb_200,0.5036000033767523,0.5051020198401095,0.5036469304028814,0.33703708667855087,100,-49639999.11121006,-0.49639999662324763,-0.49639999662324763,0.5594355786695955,0.50454557997285,0.5029747986232651,0.5081806699387521,0.5076527239852098,49185,0.005,15
phase2_1_capacity_grid,44,64,200,TGN,dm_64_tb_200,0.5012304190795427,0.5015419770502813,0.5092020023557126,0.030826687345549025,100,-49876957.53830025,-0.4987695809204572,-0.4987695809204572,0.5069978753011448,0.49850651919732575,0.5032287882797435,0.49999669252898565,0.49525351329326084,49185,0.005,15
phase2_1_capacity_grid,45,64,200,TGN,dm_64_tb_200,0.5030791162399335,0.5042932353681729,0.5033735353031975,0.34773725107973497,100,-49692088.37600665,-0.4969208837600665,-0.4969208837600665,0.5618144434925176,0.5031585299053825,0.5039058110693517,0.5106031202228253,0.499499852618897,49185,0.005,15
phase2_1_capacity_grid,46,64,200,TGN,dm_64_tb_200,0.5055808243118923,0.5062331782809233,0.5028422722183719,0.3358055514759877,100,-49441917.56881077,-0.49441917568810767,-0.49441917568810767,0.5600525381629635,0.49678158573716336,0.5036771856861213,0.5030787293289379,0.5073432553297509,49185,0.005,15
phase2_1_capacity_grid,42,128,10,TGN,dm_128_tb_10,0.5121705322807306,0.5091695063013713,0.5159443990188062,0.17731122797157883,100,-48782945.68872792,-0.48782946771926916,-0.48782946771926916,0.509055662976163,0.5065135192555951,0.5152394042614908,0.5221702401279581,0.5037382591819237,104865,0.005,15
phase2_1_capacity_grid,43,128,10,TGN,dm_128_tb_10,0.5082028411757233,0.5042946540833396,0.5019784203637365,0.5194688017965032,100,-49179715.88242766,-0.49179715882427666,-0.49179715882427666,0.508055722172545,0.5071303065574873,0.5114567530750562,0.5033379963868441,0.5147957898434802,104865,0.005,15
phase2_1_capacity_grid,44,128,10,TGN,dm_128_tb_10,0.6477140979812541,0.678519059141194,0.5219262758907882,0.9296961839780987,0,-35228590.201874584,-0.3522859020187459,-0.3522859020187459,0.6072668173620951,0.6460805522838364,0.6568231786643555,0.6468861210573368,0.6506197163343236,104865,0.005,15
phase2_1_capacity_grid,45,128,10,TGN,dm_128_tb_10,0.5029924306849347,0.5029428491055647,0.5006426637619092,0.8072544488818247,100,-49700756.93150653,-0.4970075693150653,-0.4970075693150653,0.5088523126704343,0.49851569452861844,0.5047891019655413,0.4957304039818887,0.5081092669179121,104865,0.005,15
phase2_1_capacity_grid,46,128,10,TGN,dm_128_tb_10,0.5008718486346835,0.5014459755347656,0.4988494675442821,0.020808453741258195,100,-49912815.13653165,-0.4991281513653165,-0.4991281513653165,0.5029206969013859,0.5017475520094811,0.5005262068440761,0.49484201472267064,0.48790528315251624,104865,0.005,15
phase2_1_capacity_grid,42,128,25,TGN,dm_128_tb_25,0.6332214880485378,0.6565841498555975,0.6820945475548313,0.2948078144676868,0,-36677851.19514622,-0.36677851195146216,-0.36677851195146216,0.5937114017099884,0.641679264241796,0.6407704145756452,0.635817447433523,0.639722021023395,104865,0.005,15
phase2_1_capacity_grid,43,128,25,TGN,dm_128_tb_25,0.6175785108643239,0.6416246228233717,0.5865693824708498,0.7845841830196458,0,-38242148.91356761,-0.3824214891356761,-0.3824214891356761,0.5785541335708586,0.6152590937238884,0.6152577370050281,0.6266320846513883,0.6200858205171067,104865,0.005,15
phase2_1_capacity_grid,44,128,25,TGN,dm_128_tb_25,0.6105269835741646,0.6337467380989958,0.6892265776801555,0.14544599620713247,0,-38947301.64258354,-0.3894730164258354,-0.3894730164258354,0.5719469840939316,0.6119980732838357,0.6149171639424916,0.6075257909220331,0.6085303961720703,104865,0.005,15
phase2_1_capacity_grid,45,128,25,TGN,dm_128_tb_25,0.5050602214009382,0.5050490247661571,0.5182529335071708,0.015944680538130182,100,-49493977.85990618,-0.4949397785990618,-0.4949397785990618,0.5085316253493477,0.5026793794212039,0.4973223903977611,0.5024642988582475,0.5077035619983299,104865,0.005,15
phase2_1_capacity_grid,46,128,25,TGN,dm_128_tb_25,0.502412598548657,0.5022557350501667,0.5006578383050602,0.847948916235679,100,-49758740.14513429,-0.49758740145134295,-0.49758740145134295,0.51228053952898,0.5016827709043337,0.5039039555275131,0.5060813357675663,0.49654909026757643,104865,0.005,15
phase2_1_capacity_grid,42,128,50,TGN,dm_128_tb_50,0.5800309734353649,0.591398733998252,0.539829503578368,0.7711868934199982,47,-41996902.656463504,-0.4199690265646351,-0.4199690265646351,0.5592237233176751,0.5859359946471119,0.5819623988053545,0.5900524411614644,0.5834457070082891,104865,0.005,15
phase2_1_capacity_grid,43,128,50,TGN,dm_128_tb_50,0.4676883311228044,0.49430220328188856,0.34277585235681074,0.08015055856692534,100,-53231168.06968895,-0.5323116688771958,-0.5323116688771958,0.48391669656131353,0.4690429447630042,0.4668246909608004,0.46523329690809323,0.46659674656250816,104865,0.005,15
phase2_1_capacity_grid,44,128,50,TGN,dm_128_tb_50,0.5002584326352547,0.5001118922260478,0.5,1.0,100,-49974156.73647453,-0.4997415673647453,-0.4997415673647453,0.5082635814045859,0.49943922442648364,0.5031466726814626,0.5047950719464283,0.49438984554828064,104865,0.005,15
phase2_1_capacity_grid,45,128,50,TGN,dm_128_tb_50,0.56675242428571,0.6177178719810739,0.594245181162872,0.6670870113493065,100,-43324757.090427555,-0.43324757571428985,-0.43324757571428985,0.538761708369871,0.5758323303209631,0.5680906844064252,0.5670304692568748,0.5681722526545887,104865,0.005,15
phase2_1_capacity_grid,46,128,50,TGN,dm_128_tb_50,0.5003046763856451,0.4988435420013658,0.5,1.0,100,-49969532.36143549,-0.49969532361435487,-0.49969532361435487,0.5050464079969569,0.49660684333390204,0.4995264913708569,0.5012126706920477,0.5046008419966708,104865,0.005,15
phase2_1_capacity_grid,42,128,100,TGN,dm_128_tb_100,0.502334601463744,0.5005390117423889,0.5009136412977928,0.37025075945502,100,-49766539.8536256,-0.497665398536256,-0.497665398536256,0.499659764891622,0.5044081348802618,0.5100919908473659,0.5000463588988453,0.5064833710132473,104865,0.005,15
